"Total";"Total";16847646,84;42723;16847646,84;16847646,84;175677,00;141482,00;S;0,01;0,01
"Total";"Nr";4373664,00;11395;4373664,00;4373664,00;43587,00;43293,00;S;0,01;0,01
"Total";" 1";1986129,00;6112;1986129,00;1986129,00;23287,00;18856,00;S;0,01;0,01
"Total";" 2";1809246,00;3798;1809246,00;1809246,00;43587,00;43293,00;S;0,01;0,01
"Total";" 3";578289,00;1485;578289,00;578289,00;9343,00;8727,00;S;0,01;0,01
"Total";"Os";3703896,00;10227;3703896,00;3703896,00;112887,00;109240,00;S;0,01;0,01
"Total";" 4";124336,00;538;124336,00;124336,00;11401,00;2889,00;S;0,01;0,01
"Total";" 5";526279,00;1597;526279,00;526279,00;13270,00;12325,00;S;0,01;0,01
"Total";" 6";2234995,00;5446;2234995,00;2234995,00;112887,00;109240,00;S;0,01;0,01
"Total";" 7";818286,00;2646;818286,00;818286,00;8314,00;8139,00;S;0,01;0,01
"Total";"Ws";4576115,84;10054;4576115,84;4576115,84;175677,00;141482,00;S;0,01;0,01
"Total";" 8";485326,00;1182;485326,00;485326,00;25520,00;24295,00;S;0,01;0,01
"Total";" 9";3664559,84;8018;3664559,84;3664559,84;175677,00;141482,00;S;0,01;0,01
"Total";"10";426230,00;854;426230,00;426230,00;21803,00;19493,00;S;0,01;0,01
"Total";"Zd";4193971,00;11047;4193971,00;4193971,00;27270,00;22895,00;S;0,01;0,01
"Total";"11";2752743,00;7511;2752743,00;2752743,00;21173,00;19605,00;S;0,01;0,01
"Total";"12";1441228,00;3536;1441228,00;1441228,00;27270,00;22895,00;S;0,01;0,01
"Total";"99";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"Total";20,00;9;20,00;20,00;5,00;5,00;S;0,01;0,01
" 2";"Nr";5,00;6;5,00;5,00;5,00;0,00;U;0,75;0,75
" 2";" 1";5,00;1;5,00;5,00;5,00;0,00;U;0,75;0,75
" 2";" 2";0,00;5;0,00;0,00;0,00;0,00;S;0,00;0,00
" 2";" 3";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"Os";15,00;3;15,00;15,00;5,00;5,00;S;0,01;0,01
" 2";" 4";4,00;1;5,00;5,00;4,00;0,00;U;0,75;0,75
" 2";" 5";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";" 6";11,00;2;10,00;10,00;5,00;5,00;U;0,75;0,75
" 2";" 7";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"Ws";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";" 8";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";" 9";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"10";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"Zd";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"11";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"12";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 2";"99";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 4";"Total";25,00;5;25,00;25,00;5,00;5,00;S;0,01;0,01
" 4";"Nr";5,00;1;5,00;5,00;5,00;0,00;U;0,75;0,75
" 4";" 1";5,00;1;5,00;5,00;5,00;0,00;U;0,75;0,75
" 4";" 2";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 4";" 3";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
" 4";"Os";4,00;1;5,00;5,00;4,00;0,00;U;0,75;0,75
" 4";" 4";0,00;0;0,00;0,00;0,00;0,00;E;0,00;0,00
